 Note: Area unit is in Angstrom^2
      Begin        End       Center       Area         %
    -70.0000    -65.0000    -67.5000      5.4457      2.6995
    -65.0000    -60.0000    -62.5000     12.9312      6.4101
    -60.0000    -55.0000    -57.5000      9.7607      4.8384
    -55.0000    -50.0000    -52.5000      7.7053      3.8195
    -50.0000    -45.0000    -47.5000      6.6646      3.3037
    -45.0000    -40.0000    -42.5000      5.8139      2.8820
    -40.0000    -35.0000    -37.5000      3.5806      1.7749
    -35.0000    -30.0000    -32.5000      3.0860      1.5297
    -30.0000    -25.0000    -27.5000      2.7627      1.3695
    -25.0000    -20.0000    -22.5000      2.5959      1.2868
    -20.0000    -15.0000    -17.5000      2.8861      1.4307
    -15.0000    -10.0000    -12.5000      3.3333      1.6523
    -10.0000     -5.0000     -7.5000      3.8405      1.9037
     -5.0000      0.0000     -2.5000      4.9640      2.4607
      0.0000      5.0000      2.5000      6.5894      3.2664
      5.0000     10.0000      7.5000      8.7502      4.3375
     10.0000     15.0000     12.5000      8.9989      4.4608
     15.0000     20.0000     17.5000      9.1312      4.5264
     20.0000     25.0000     22.5000      9.3535      4.6365
     25.0000     30.0000     27.5000     10.6643      5.2863
     30.0000     35.0000     32.5000     16.3499      8.1047
     35.0000     40.0000     37.5000     21.8108     10.8117
     40.0000     45.0000     42.5000     20.5370     10.1803
     45.0000     50.0000     47.5000     11.6480      5.7740
     50.0000     55.0000     52.5000      2.5295      1.2539
 Sum:                                   201.7333    100.0000
