
Host: localhost.localdomain

Timers On : Mon May 30 12:04:49 2022
Timers Off: Mon May 30 12:49:08 2022

Wall Time:     2659.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :    106.533u      0.017s      2.674w      1 calls
JK: (A|Q)^-1/2                      :     16.767u      0.250s      0.428w      1 calls
JK: (Q|mn)                          :     29.933u      1.200s      0.792w      1 calls
HF: Form core H                     :      0.067u      0.017s      0.451w      3 calls
HF: Form S/X                        :      7.850u      0.067s      0.198w      3 calls
HF: Guess                           :     69.083u      1.150s      1.761w      3 calls
SAD Guess                           :     67.600u      1.133s      1.724w      3 calls
HF: Form G                          :    641.633u      5.533s     16.322w     36 calls
JK: D                               :      0.683u      0.067s      0.021w     36 calls
JK: USO2AO                          :      1.283u      0.067s      0.029w     36 calls
JK: JK                              :    637.683u      5.317s     16.222w     36 calls
JK: J                               :     95.000u      0.600s      2.398w     36 calls
JK: J1                              :     42.533u      0.500s      1.081w     36 calls
JK: J2                              :     48.583u      0.050s      1.222w     36 calls
JK: K                               :    469.750u      0.700s     11.894w     36 calls
JK: K1                              :    421.233u      0.533s     10.671w     36 calls
JK: K2                              :     47.750u      0.167s      1.204w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      1.467u      0.033s      0.040w     36 calls
HF: Form D                          :      0.917u      0.000s      0.024w     36 calls
HF: DIIS                            :     31.583u      1.533s      0.830w     33 calls
DIISManager::add_entry              :      7.067u      0.250s      0.186w     33 calls
DIISManager::extrapolate            :     15.417u      0.833s      0.405w     33 calls
bMatrix setup                       :      8.717u      0.517s      0.232w     33 calls
bMatrix pseudoinverse               :      0.150u      0.000s      0.002w     33 calls
New vector                          :      6.533u      0.317s      0.170w     33 calls
HF: Form C                          :     82.917u      1.083s      2.107w     33 calls
DFMP2 Singles                       :      0.633u      0.117s      0.018w      3 calls
DFMP2 Aia                           :    246.483u      5.033s     11.546w      3 calls
DFMP2 (A|mn)                        :    186.600u      0.017s      4.679w      3 calls
DFMP2 (A|mn)C_mi                    :     16.650u      0.017s      0.417w      3 calls
DFMP2 (A|mi)C_na                    :      2.450u      0.000s      0.062w      3 calls
DFMP2 Aia Write                     :      9.150u      0.550s      0.243w      3 calls
