
Host: localhost.localdomain

Timers On : Wed Jun  1 11:50:35 2022
Timers Off: Wed Jun  1 23:23:24 2022

Wall Time:    41569.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :    810.867u      1.550s     10.344w      1 calls
JK: (A|Q)^-1/2                      :     86.250u      1.133s      1.319w      1 calls
JK: (Q|mn)                          :    476.367u      1.183s      6.094w      1 calls
HF: Form core H                     :      1.167u      0.050s      0.455w      3 calls
HF: Form S/X                        :     53.600u      1.067s      0.686w      3 calls
HF: Guess                           :    275.517u      4.650s      4.005w      3 calls
SAD Guess                           :    270.217u      4.517s      3.937w      3 calls
HF: Form G                          :   6513.817u     39.617s     84.148w     38 calls
JK: D                               :      7.600u      0.167s      0.104w     38 calls
JK: USO2AO                          :      9.850u      0.183s      0.121w     38 calls
JK: JK                              :   6481.800u     38.817s     83.736w     38 calls
JK: J                               :   1163.900u      9.067s     14.794w     38 calls
JK: J1                              :    533.700u      7.583s      6.806w     38 calls
JK: J2                              :    610.367u      1.083s      7.680w     38 calls
JK: K                               :   4761.117u      6.900s     59.972w     38 calls
JK: K1                              :   4200.733u      3.567s     52.857w     38 calls
JK: K2                              :    552.883u      3.117s      7.018w     38 calls
JK: AO2USO                          :      0.050u      0.000s      0.000w     38 calls
HF: Form F                          :     12.533u      0.367s      0.166w     38 calls
HF: Form D                          :      5.500u      0.167s      0.074w     38 calls
HF: DIIS                            :    247.717u      9.350s      3.224w     35 calls
DIISManager::add_entry              :     52.300u      1.850s      0.677w     35 calls
DIISManager::extrapolate            :    133.083u      4.400s      1.725w     35 calls
bMatrix setup                       :     75.833u      2.683s      0.991w     35 calls
bMatrix pseudoinverse               :      0.733u      0.033s      0.004w     35 calls
New vector                          :     56.483u      1.683s      0.730w     35 calls
HF: Form C                          :    565.633u      8.900s      7.209w     35 calls
DFMP2 Singles                       :      6.633u      0.200s      0.084w      3 calls
DFMP2 Aia                           :   2096.633u     45.550s     57.473w      3 calls
DFMP2 (A|mn)                        :   1768.250u      4.917s     22.545w      3 calls
DFMP2 (A|mn)C_mi                    :    186.017u      6.800s      2.424w      3 calls
DFMP2 (A|mi)C_na                    :     24.833u      7.133s      0.402w      3 calls
DFMP2 Aia Write                     :     44.350u      2.650s      1.127w      3 calls
DFMP2 Qia                           :    216.150u      6.800s      5.023w      3 calls
DFMP2 Metric                        :     89.783u      1.550s      1.446w      3 calls
