
Host: localhost.localdomain

Timers On : Sat May 21 21:11:24 2022
Timers Off: Sat May 21 21:16:43 2022

Wall Time:      319.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :    558.717u      0.400s     15.318w      1 calls
JK: (A|Q)^-1/2                      :     45.767u      0.433s      1.328w      1 calls
JK: (Q|mn)                          :    277.650u      0.367s      7.631w      1 calls
HF: Form core H                     :      0.567u      0.033s      0.830w      3 calls
HF: Form S/X                        :     24.017u      0.417s      0.668w      3 calls
HF: Guess                           :    112.933u      1.683s      3.133w      3 calls
SAD Guess                           :    110.817u      1.633s      3.074w      3 calls
HF: Form G                          :   5328.167u     20.167s    149.281w     37 calls
JK: D                               :      2.333u      0.050s      0.077w     37 calls
JK: USO2AO                          :      4.617u      0.033s      0.117w     37 calls
JK: JK                              :   5315.300u     19.933s    148.925w     37 calls
JK: J                               :    593.017u      0.517s     16.347w     38 calls
JK: J1                              :    270.233u      0.250s      7.411w     38 calls
JK: J2                              :    314.783u      0.050s      8.621w     38 calls
JK: K                               :   4467.633u      1.483s    122.365w     38 calls
JK: K1                              :   3960.017u      0.900s    108.435w     38 calls
JK: K2                              :    505.100u      0.583s     13.859w     38 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      4.833u      0.033s      0.143w     37 calls
HF: Form D                          :      2.200u      0.033s      0.071w     37 calls
HF: DIIS                            :    103.600u      4.133s      2.949w     34 calls
DIISManager::add_entry              :     22.133u      1.150s      0.619w     34 calls
DIISManager::extrapolate            :     50.417u      2.300s      1.441w     34 calls
bMatrix setup                       :     25.700u      1.383s      0.750w     34 calls
bMatrix pseudoinverse               :      0.500u      0.000s      0.004w     34 calls
New vector                          :     24.167u      0.917s      0.687w     34 calls
HF: Form C                          :    230.717u      2.567s      6.377w     34 calls
DFMP2 Singles                       :      3.150u      0.017s      0.086w      3 calls
DFMP2 Aia                           :   1326.433u     19.750s     61.842w      3 calls
DFMP2 (A|mn)                        :   1099.583u      0.033s     30.082w      6 calls
DFMP2 (A|mn)C_mi                    :    105.933u      0.083s      2.900w      6 calls
DFMP2 (A|mi)C_na                    :     31.150u      0.883s      0.877w      6 calls
DFMP2 Aia Write                     :     34.583u      2.783s      1.390w      6 calls
DFMP2 Qia                           :    108.117u      5.783s      5.533w      3 calls
DFMP2 Metric                        :     41.817u      0.483s      1.329w      3 calls
DFMP2 Aia Read                      :      0.033u      0.867s      0.542w      3 calls
DFMP2 (Q|A)(A|ia)                   :     41.983u      0.350s      1.160w      3 calls
DFMP2 Qia Write                     :     20.900u      2.733s      1.456w      3 calls
DFMP2 Energy                        :    553.750u      3.833s     17.517w      3 calls
DFMP2 Qia Read                      :      0.783u      0.900s      0.989w      6 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :    558.717u      0.400s     15.318w      1 calls
JK: (A|Q)^-1/2                      :     45.767u      0.433s      1.328w      1 calls
JK: (Q|mn)                          :    277.650u      0.367s      7.631w      1 calls
HF: Form core H                     :      0.567u      0.033s      0.830w      3 calls
HF: Form S/X                        :     24.017u      0.417s      0.668w      3 calls
HF: Guess                           :    112.933u      1.683s      3.133w      3 calls
| SAD Guess                         :    110.817u      1.633s      3.074w      3 calls
HF: Form G                          :   5328.167u     20.167s    149.281w     37 calls
| JK: D                             :      2.333u      0.050s      0.077w     37 calls
| JK: USO2AO                        :      4.617u      0.033s      0.117w     37 calls
| JK: JK                            :   5315.300u     19.933s    148.925w     37 calls
| | JK: J                           :    593.017u      0.517s     16.347w     38 calls
| | | JK: J1                        :    270.233u      0.250s      7.411w     38 calls
| | | JK: J2                        :    314.783u      0.050s      8.621w     38 calls
| | JK: K                           :   4467.633u      1.483s    122.365w     38 calls
| | | JK: K1                        :   3960.017u      0.900s    108.435w     38 calls
| | | JK: K2                        :    505.100u      0.583s     13.859w     38 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      4.833u      0.033s      0.143w     37 calls
HF: Form D                          :      2.200u      0.033s      0.071w     37 calls
HF: DIIS                            :    103.600u      4.133s      2.949w     34 calls
| DIISManager::add_entry            :     22.133u      1.150s      0.619w     34 calls
| DIISManager::extrapolate          :     50.417u      2.300s      1.441w     34 calls
| | bMatrix setup                   :     25.700u      1.383s      0.750w     34 calls
